lines,analysis,reference,aligner,method,filtering,mass
1785081,miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
422787,miscalls_lowmap,t2t,bwameth,wgbs,combined,200ng
1597835,miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
7172366,miscalls_lowmap,grch38,bismark,wgbs,combined,10ng
1797337,miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
2246477,miscalls_lowmap,t2t,bismark,emseq,combined,10ng
299992,miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
8243816,miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
609095,miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
606974,miscalls_lowmap,t2t,bwameth,emseq,combined,200ng
25029,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
7531731,miscalls_lowmap,grch38,bwameth,emseq,combined,10ng
8196248,miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
6641270,miscalls_lowmap,grch38,bwameth,wgbs,combined,200ng
410122,miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
6377,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,200ng
21320,clinvar_miscalls,t2t,bismark,wgbs,combined,10ng
5732108,miscalls_lowmap,grch38,bwameth,wgbs,combined,10ng
2677989,miscalls_lowmap,t2t,bismark,emseq,combined,50ng
6513064,miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
10349503,miscalls_lowmap,grch38,bismark,emseq,combined,50ng
10338668,miscalls_lowmap,grch38,bismark,emseq,combined,200ng
30618,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,10ng
7732030,miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
9972408,miscalls_lowmap,grch38,bismark,emseq,combined,10ng
6390,clinvar_miscalls,t2t,bwameth,wgbs,combined,50ng
4437,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
34345,clinvar_miscalls,t2t,bismark,emseq,combined,50ng
15121,clinvar_miscalls,t2t,bwameth,emseq,combined,50ng
4443,clinvar_miscalls,t2t,bwameth,wgbs,combined,10ng
24680,clinvar_miscalls,t2t,bismark,wgbs,combined,200ng
3681,miscalled_clinvar_genes_lowmap,t2t,bismark,wgbs,combined,50ng
21277,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
1795,miscalled_clinvar_genes_lowmap,t2t,bwameth,wgbs,combined,200ng
7739052,miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
4563,miscalled_clinvar_genes_lowmap,t2t,bismark,emseq,combined,10ng
3178,miscalled_clinvar_genes_lowmap,t2t,bismark,wgbs,combined,10ng
3362,miscalled_clinvar_genes_lowmap,t2t,bismark,wgbs,combined,200ng
6388,clinvar_miscalls,t2t,bwameth,wgbs,combined,200ng
11865,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
24639,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
9326,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,200ng
6370,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
9331,clinvar_miscalls,t2t,bwameth,emseq,combined,200ng
34319,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,50ng
10787,miscalled_clinvar_genes_lowmap,grch38,bismark,wgbs,combined,10ng
8849,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
