lines,analysis,reference,aligner,method,filtering,mass
1155929537,calls,t2t,bwameth,emseq,nofilt,10ng
1073714590,calls,t2t,bismark,wgbs,filt,50ng
1158013154,calls,t2t,bwameth,emseq,filt,50ng
1152533199,calls,grch38,bismark,emseq,nofilt,50ng
1158929006,calls,t2t,bwameth,emseq,filt,200ng
1164959775,calls,t2t,bismark,emseq,nofilt,200ng
1159470947,calls,t2t,bwameth,emseq,nofilt,200ng
1149823123,calls,grch38,bwameth,emseq,nofilt,200ng
1158661101,calls,t2t,bwameth,emseq,nofilt,50ng
1141377193,calls,grch38,bwameth,emseq,filt,50ng
1062521579,calls,grch38,bismark,wgbs,filt,200ng
1148850489,calls,grch38,bismark,emseq,nofilt,10ng
1142181703,calls,grch38,bismark,emseq,filt,50ng
1161405348,calls,t2t,bismark,emseq,filt,50ng
1153205192,calls,grch38,bismark,emseq,nofilt,200ng
1164084938,calls,t2t,bismark,emseq,nofilt,50ng
1155440663,calls,t2t,bwameth,emseq,filt,10ng
1138875739,calls,grch38,bismark,emseq,filt,10ng
1146848528,calls,grch38,bwameth,emseq,nofilt,10ng
979839147,calls,t2t,bismark,wgbs,nofilt,10ng
965983847,calls,grch38,bismark,wgbs,filt,10ng
1159464630,calls,t2t,bismark,emseq,nofilt,10ng
1142864499,calls,grch38,bismark,emseq,filt,200ng
1067654505,calls,grch38,bismark,wgbs,nofilt,50ng
1162144327,calls,t2t,bismark,emseq,filt,200ng
1057524828,calls,grch38,bismark,wgbs,filt,50ng
53552,called_genes,t2t,bismark,wgbs,nofilt,50ng
53591,called_genes,t2t,bismark,wgbs,nofilt,200ng
53536,called_genes,t2t,bismark,wgbs,filt,200ng
53656,called_genes,t2t,bwameth,wgbs,nofilt,10ng
53643,called_genes,t2t,bwameth,wgbs,filt,10ng
53752,called_genes,t2t,bwameth,wgbs,filt,200ng
54208,called_genes,t2t,bwameth,emseq,nofilt,10ng
53585,called_genes,t2t,bismark,emseq,filt,10ng
53801,called_genes,t2t,bwameth,wgbs,nofilt,50ng
53732,called_genes,t2t,bwameth,emseq,filt,200ng
53517,called_genes,t2t,bismark,wgbs,filt,50ng
54356,called_genes,t2t,bwameth,wgbs,nofilt,200ng
53783,called_genes,t2t,bwameth,wgbs,filt,50ng
53716,called_genes,t2t,bismark,emseq,nofilt,200ng
53482,called_genes,t2t,bismark,wgbs,filt,10ng
53922,called_genes,t2t,bwameth,emseq,filt,50ng
53746,called_genes,t2t,bwameth,emseq,nofilt,200ng
53943,called_genes,t2t,bwameth,emseq,nofilt,50ng
53872,called_genes,t2t,bismark,emseq,nofilt,50ng
53794,called_genes,t2t,bismark,emseq,filt,50ng
54174,called_genes,t2t,bwameth,emseq,filt,10ng
53520,called_genes,t2t,bismark,wgbs,nofilt,10ng
53652,called_genes,t2t,bismark,emseq,filt,200ng
53658,called_genes,t2t,bismark,emseq,nofilt,10ng
37939,called_genes,grch38,bwameth,wgbs,nofilt,10ng
37952,called_genes,grch38,bismark,wgbs,nofilt,200ng
37983,called_genes,grch38,bismark,wgbs,nofilt,50ng
37861,called_genes,grch38,bwameth,emseq,filt,50ng
38048,called_genes,grch38,bismark,emseq,nofilt,200ng
37878,called_genes,grch38,bwameth,emseq,filt,200ng
37837,called_genes,grch38,bwameth,emseq,filt,10ng
37930,called_genes,grch38,bismark,wgbs,nofilt,10ng
37883,called_genes,grch38,bismark,emseq,filt,50ng
37786,called_genes,grch38,bwameth,wgbs,filt,50ng
38005,called_genes,grch38,bismark,emseq,nofilt,10ng
37829,called_genes,grch38,bwameth,wgbs,filt,10ng
37820,called_genes,grch38,bismark,wgbs,filt,200ng
38022,called_genes,grch38,bwameth,emseq,nofilt,50ng
38020,called_genes,grch38,bwameth,emseq,nofilt,200ng
37867,called_genes,grch38,bismark,emseq,filt,200ng
37994,called_genes,grch38,bwameth,emseq,nofilt,10ng
37804,called_genes,grch38,bismark,wgbs,filt,50ng
37806,called_genes,grch38,bwameth,wgbs,filt,200ng
37974,called_genes,grch38,bwameth,wgbs,nofilt,50ng
37848,called_genes,grch38,bismark,emseq,filt,10ng
37807,called_genes,grch38,bismark,wgbs,filt,10ng
38047,called_genes,grch38,bismark,emseq,nofilt,50ng
37973,called_genes,grch38,bwameth,wgbs,nofilt,200ng
58358678,mixed_methyl_calls,grch38,bwameth,wgbs,filt,200ng
37376808,mixed_methyl_calls,grch38,bwameth,wgbs,filt,10ng
57413407,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,50ng
39406721,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,10ng
76542810,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,50ng
59927183,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,200ng
36927951,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,10ng
58104746,mixed_methyl_calls,grch38,bwameth,wgbs,filt,50ng
120139973,mixed_methyl_calls,grch38,bwameth,emseq,filt,10ng
36615932,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,50ng
23185923,mixed_methyl_calls,t2t,bismark,wgbs,filt,10ng
39393411,mixed_methyl_calls,t2t,bwameth,wgbs,filt,10ng
59572139,mixed_methyl_calls,t2t,bwameth,wgbs,filt,200ng
59769846,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,50ng
124077168,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,10ng
38761963,mixed_methyl_calls,t2t,bismark,wgbs,filt,200ng
59745664,mixed_methyl_calls,t2t,bwameth,wgbs,filt,50ng
77495331,mixed_methyl_calls,t2t,bismark,emseq,filt,10ng
22843641,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,10ng
1031464795,pure_methyl_calls,grch38,bwameth,wgbs,filt,200ng
38846710,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,200ng
59598659,mixed_methyl_calls,t2t,bwameth,wgbs,nofilt,200ng
38218450,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,200ng
74432808,mixed_methyl_calls,grch38,bwameth,emseq,filt,200ng
36535616,mixed_methyl_calls,t2t,bismark,wgbs,filt,50ng
76781024,mixed_methyl_calls,t2t,bwameth,emseq,filt,50ng
979944158,pure_methyl_calls,grch38,bwameth,wgbs,filt,10ng
48638859,mixed_methyl_calls,grch38,bismark,emseq,nofilt,50ng
1072574574,pure_methyl_calls,grch38,bwameth,emseq,nofilt,50ng
983975432,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,10ng
1037708813,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,200ng
75251363,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,200ng
1038742349,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,50ng
46881804,mixed_methyl_calls,t2t,bismark,emseq,nofilt,200ng
77639430,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,50ng
1019175436,pure_methyl_calls,grch38,bwameth,emseq,filt,10ng
75013508,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,200ng
76070054,mixed_methyl_calls,t2t,bwameth,emseq,filt,200ng
987728833,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,10ng
1067657206,pure_methyl_calls,grch38,bwameth,emseq,filt,200ng
987441902,pure_methyl_calls,t2t,bwameth,wgbs,filt,10ng
1044260052,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,50ng
1042896428,pure_methyl_calls,t2t,bwameth,wgbs,filt,200ng
1032743698,pure_methyl_calls,grch38,bwameth,wgbs,filt,50ng
75952657,mixed_methyl_calls,grch38,bwameth,emseq,filt,50ng
1038884839,pure_methyl_calls,t2t,bismark,wgbs,nofilt,50ng
955054343,pure_methyl_calls,t2t,bismark,wgbs,filt,10ng
1038133937,pure_methyl_calls,t2t,bismark,wgbs,filt,200ng
1043293010,pure_methyl_calls,t2t,bwameth,wgbs,nofilt,200ng
37881427,mixed_methyl_calls,grch38,bismark,wgbs,filt,200ng
1043873822,pure_methyl_calls,t2t,bwameth,wgbs,filt,50ng
950317141,pure_methyl_calls,grch38,bismark,wgbs,nofilt,10ng
1039847644,pure_methyl_calls,t2t,bismark,wgbs,nofilt,200ng
1081232130,pure_methyl_calls,t2t,bwameth,emseq,filt,50ng
76859470,mixed_methyl_calls,grch38,bismark,emseq,nofilt,10ng
1037178974,pure_methyl_calls,t2t,bismark,wgbs,filt,50ng
1079721293,pure_methyl_calls,t2t,bismark,emseq,filt,10ng
1031852369,pure_methyl_calls,t2t,bwameth,emseq,nofilt,10ng
48110607,mixed_methyl_calls,grch38,bismark,emseq,filt,50ng
1084219584,pure_methyl_calls,t2t,bwameth,emseq,nofilt,200ng
1074809615,pure_methyl_calls,grch38,bwameth,emseq,nofilt,200ng
50037232,mixed_methyl_calls,t2t,bismark,emseq,filt,50ng
1032503212,pure_methyl_calls,grch38,bismark,wgbs,nofilt,200ng
124016361,mixed_methyl_calls,t2t,bwameth,emseq,filt,10ng
1082858952,pure_methyl_calls,t2t,bwameth,emseq,filt,200ng
1065424536,pure_methyl_calls,grch38,bwameth,emseq,filt,50ng
76159936,mixed_methyl_calls,grch38,bismark,emseq,filt,10ng
1118077971,pure_methyl_calls,t2t,bismark,emseq,nofilt,200ng
46283622,mixed_methyl_calls,grch38,bismark,emseq,nofilt,200ng
50127913,mixed_methyl_calls,t2t,bismark,emseq,nofilt,50ng
1103894340,pure_methyl_calls,grch38,bismark,emseq,nofilt,50ng
1081021671,pure_methyl_calls,t2t,bwameth,emseq,nofilt,50ng
1024640152,pure_methyl_calls,grch38,bismark,wgbs,filt,200ng
1031424302,pure_methyl_calls,t2t,bwameth,emseq,filt,10ng
1111368116,pure_methyl_calls,t2t,bismark,emseq,filt,50ng
1071991019,pure_methyl_calls,grch38,bismark,emseq,nofilt,10ng
1113957025,pure_methyl_calls,t2t,bismark,emseq,nofilt,50ng
1106921570,pure_methyl_calls,grch38,bismark,emseq,nofilt,200ng
1062715803,pure_methyl_calls,grch38,bismark,emseq,filt,10ng
120970313,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,10ng
1025878215,pure_methyl_calls,grch38,bwameth,emseq,nofilt,10ng
23248954,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,10ng
22617078,mixed_methyl_calls,grch38,bismark,wgbs,filt,10ng
77587200,mixed_methyl_calls,t2t,bismark,emseq,nofilt,10ng
1081877430,pure_methyl_calls,t2t,bismark,emseq,nofilt,10ng
45769268,mixed_methyl_calls,grch38,bismark,emseq,filt,200ng
1097095231,pure_methyl_calls,grch38,bismark,emseq,filt,200ng
1031628685,pure_methyl_calls,grch38,bismark,wgbs,nofilt,50ng
36025820,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,50ng
1094071096,pure_methyl_calls,grch38,bismark,emseq,filt,50ng
956590193,pure_methyl_calls,t2t,bismark,wgbs,nofilt,10ng
943366769,pure_methyl_calls,grch38,bismark,wgbs,filt,10ng
46788862,mixed_methyl_calls,t2t,bismark,emseq,filt,200ng
1115355465,pure_methyl_calls,t2t,bismark,emseq,filt,200ng
34641022,mixed_methyl_calls,grch38,bismark,wgbs,filt,50ng
1022883806,pure_methyl_calls,grch38,bismark,wgbs,filt,50ng
1171523,underfiltered_calls,grch38,bwameth,wgbs,combined,200ng
3317,underfiltered_calls,grch38,bwameth,wgbs,combined,10ng
290,underfiltered_calls,t2t,bwameth,wgbs,combined,50ng
1117,underfiltered_calls,t2t,bismark,wgbs,combined,200ng
315,underfiltered_calls,t2t,bwameth,wgbs,combined,200ng
1100,underfiltered_calls,t2t,bismark,wgbs,combined,50ng
2715,underfiltered_calls,grch38,bwameth,wgbs,combined,50ng
547,underfiltered_calls,t2t,bwameth,emseq,combined,200ng
249,underfiltered_calls,t2t,bwameth,wgbs,combined,10ng
38910,underfiltered_calls,t2t,bwameth,emseq,combined,50ng
1079,underfiltered_calls,grch38,bwameth,emseq,combined,200ng
1139,underfiltered_calls,grch38,bwameth,emseq,combined,50ng
3835,underfiltered_calls,grch38,bismark,wgbs,combined,200ng
1993,underfiltered_calls,grch38,bismark,emseq,combined,50ng
398,underfiltered_calls,t2t,bwameth,emseq,combined,10ng
1601,underfiltered_calls,t2t,bismark,emseq,combined,50ng
2342,underfiltered_calls,grch38,bismark,emseq,combined,10ng
1388,underfiltered_calls,grch38,bwameth,emseq,combined,10ng
1046,underfiltered_calls,t2t,bismark,wgbs,combined,10ng
1529,underfiltered_calls,t2t,bismark,emseq,combined,10ng
4569,underfiltered_calls,grch38,bismark,wgbs,combined,10ng
2025,underfiltered_calls,grch38,bismark,emseq,combined,200ng
1718,underfiltered_calls,t2t,bismark,emseq,combined,200ng
1885880,underfiltered_calls,grch38,bismark,wgbs,combined,50ng
