lines,analysis,reference,aligner,method,filtering,mass
407021,miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
299953,miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
409191,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
364660,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,10ng
7725130,miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
274979,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
451650,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,50ng
274846,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,10ng
263841,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
10329582,miscalls_lowmap,grch38,bismark,emseq,combined,200ng
8135986,miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
1583471,miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
10349154,miscalls_lowmap,grch38,bismark,emseq,combined,50ng
1769723,miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
252799,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
2667076,miscalls_lowmap,t2t,bismark,emseq,combined,50ng
2802269,miscalls_lowmap,t2t,bismark,emseq,combined,200ng
1781823,miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
578689,miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
8166483,miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
9962272,miscalls_lowmap,grch38,bismark,emseq,combined,10ng
7732203,miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
486846,miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
435053,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,200ng
6520859,miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
2237259,miscalls_lowmap,t2t,bismark,emseq,combined,10ng
252530,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,200ng
410586,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
252914,clinvar_miscalls,grch38,bwameth,wgbs,combined,200ng
449676,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,10ng
223177,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,10ng
253213,clinvar_miscalls,grch38,bwameth,wgbs,combined,50ng
223587,clinvar_miscalls,grch38,bwameth,wgbs,combined,10ng
6124,clinvar_miscalls,t2t,bwameth,wgbs,combined,200ng
8717,clinvar_miscalls,t2t,bwameth,emseq,combined,200ng
8880,clinvar_miscalls,t2t,bwameth,emseq,combined,50ng
5751,clinvar_miscalls,t2t,bwameth,wgbs,combined,50ng
20666,clinvar_miscalls,t2t,bismark,wgbs,combined,10ng
23988,clinvar_miscalls,t2t,bismark,wgbs,combined,200ng
20624,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
29195,clinvar_miscalls,t2t,bismark,emseq,combined,10ng
4119,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
29154,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,10ng
5736,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
23951,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
6109,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,200ng
8712,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,200ng
24148,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
32566,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,50ng
31706,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,200ng
8113,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
31735,clinvar_miscalls,t2t,bismark,emseq,combined,200ng
8863,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
24189,clinvar_miscalls,t2t,bismark,wgbs,combined,50ng
411115,clinvar_miscalls,grch38,bismark,wgbs,combined,200ng
275094,clinvar_miscalls,grch38,bwameth,emseq,combined,50ng
409704,clinvar_miscalls,grch38,bismark,wgbs,combined,50ng
4126,clinvar_miscalls,t2t,bwameth,wgbs,combined,10ng
32604,clinvar_miscalls,t2t,bismark,emseq,combined,50ng
8141,clinvar_miscalls,t2t,bwameth,emseq,combined,10ng
365258,clinvar_miscalls,grch38,bismark,wgbs,combined,10ng
451772,clinvar_miscalls,grch38,bismark,emseq,combined,50ng
263958,clinvar_miscalls,grch38,bwameth,emseq,combined,200ng
435187,clinvar_miscalls,grch38,bismark,emseq,combined,200ng
275008,clinvar_miscalls,grch38,bwameth,emseq,combined,10ng
449895,clinvar_miscalls,grch38,bismark,emseq,combined,10ng
5741120,miscalls,grch38,bwameth,wgbs,combined,10ng
6546712,miscalls,grch38,bwameth,wgbs,combined,200ng
7533119,miscalls,grch38,bwameth,emseq,combined,10ng
23714,resolved_calls,grch38,bwameth,wgbs,combined,10ng
41786,resolved_calls,grch38,bwameth,wgbs,combined,200ng
423102,miscalls,t2t,bwameth,wgbs,combined,200ng
1584537,miscalls,t2t,bismark,wgbs,combined,10ng
407327,miscalls,t2t,bwameth,wgbs,combined,50ng
7733500,miscalls,grch38,bwameth,emseq,combined,50ng
1783015,miscalls,t2t,bismark,wgbs,combined,200ng
487325,miscalls,t2t,bwameth,emseq,combined,10ng
90183,resolved_calls,grch38,bwameth,emseq,combined,10ng
10331859,miscalls,grch38,bismark,emseq,combined,200ng
1770860,miscalls,t2t,bismark,wgbs,combined,50ng
607844,miscalls,t2t,bwameth,emseq,combined,200ng
61437,resolved_calls,grch38,bwameth,emseq,combined,50ng
7966,resolved_calls,t2t,bismark,wgbs,combined,10ng
3815,resolved_calls,t2t,bwameth,wgbs,combined,200ng
2759,resolved_calls,t2t,bwameth,emseq,combined,10ng
2804168,miscalls,t2t,bismark,emseq,combined,200ng
10351496,miscalls,grch38,bismark,emseq,combined,50ng
9964842,miscalls,grch38,bismark,emseq,combined,10ng
3440,resolved_calls,t2t,bwameth,wgbs,combined,50ng
6523770,miscalls,grch38,bwameth,wgbs,combined,50ng
2238951,miscalls,t2t,bismark,emseq,combined,10ng
11038,resolved_calls,t2t,bismark,wgbs,combined,200ng
40264,resolved_calls,grch38,bwameth,wgbs,combined,50ng
2944,resolved_calls,t2t,bwameth,emseq,combined,200ng
10770,resolved_calls,t2t,bismark,wgbs,combined,50ng
69800,resolved_calls,grch38,bismark,emseq,combined,200ng
97352,resolved_calls,grch38,bismark,emseq,combined,10ng
70858,resolved_calls,grch38,bismark,emseq,combined,50ng
7142706,miscalls,grch38,bismark,wgbs,combined,10ng
62527,resolved_calls,grch38,bwameth,emseq,combined,200ng
8170553,miscalls,grch38,bismark,wgbs,combined,200ng
7726396,miscalls,grch38,bwameth,emseq,combined,200ng
25990,resolved_calls,grch38,bismark,wgbs,combined,10ng
300241,miscalls,t2t,bwameth,wgbs,combined,10ng
9974,resolved_calls,t2t,bismark,emseq,combined,50ng
9599,resolved_calls,t2t,bismark,emseq,combined,10ng
2071,resolved_calls,t2t,bwameth,wgbs,combined,10ng
42787,resolved_calls,grch38,bismark,wgbs,combined,50ng
10641,resolved_calls,t2t,bismark,emseq,combined,200ng
8140034,miscalls,grch38,bismark,wgbs,combined,50ng
579248,miscalls,t2t,bwameth,emseq,combined,50ng
44794,resolved_calls,grch38,bismark,wgbs,combined,200ng
2668860,miscalls,t2t,bismark,emseq,combined,50ng
2630,resolved_calls,t2t,bwameth,emseq,combined,50ng
1607058,lowmap_calls,grch38,bismark,wgbs,filt,200ng
1446797,lowmap_calls,grch38,bwameth,wgbs,filt,50ng
2370054,lowmap_calls,grch38,bismark,emseq,filt,50ng
2003605,lowmap_calls,grch38,bwameth,emseq,filt,10ng
1602525,lowmap_calls,grch38,bismark,wgbs,filt,50ng
1653492,lowmap_calls,grch38,bismark,wgbs,nofilt,10ng
2011716,lowmap_calls,grch38,bismark,wgbs,nofilt,50ng
2527278,lowmap_calls,grch38,bwameth,emseq,nofilt,200ng
1365452,lowmap_calls,grch38,bwameth,wgbs,nofilt,10ng
2209882,lowmap_calls,grch38,bismark,emseq,filt,10ng
2450706,lowmap_calls,grch38,bwameth,emseq,nofilt,50ng
1288832,lowmap_calls,grch38,bismark,wgbs,filt,10ng
2175727,lowmap_calls,grch38,bwameth,emseq,filt,50ng
2278451,lowmap_calls,grch38,bwameth,emseq,nofilt,10ng
1454715,lowmap_calls,grch38,bwameth,wgbs,filt,200ng
2263437,lowmap_calls,grch38,bwameth,emseq,filt,200ng
2876992,lowmap_calls,grch38,bismark,emseq,nofilt,200ng
2821704,lowmap_calls,grch38,bismark,emseq,nofilt,50ng
1699596,lowmap_calls,grch38,bwameth,wgbs,nofilt,50ng
2441939,lowmap_calls,grch38,bismark,emseq,filt,200ng
1707245,lowmap_calls,grch38,bwameth,wgbs,nofilt,200ng
2017644,lowmap_calls,grch38,bismark,wgbs,nofilt,200ng
2659558,lowmap_calls,grch38,bismark,emseq,nofilt,10ng
1142275,lowmap_calls,grch38,bwameth,wgbs,filt,10ng
415932,lowmap_calls,t2t,bwameth,wgbs,filt,200ng
317694,lowmap_calls,t2t,bwameth,wgbs,nofilt,10ng
406201,lowmap_calls,t2t,bismark,wgbs,filt,10ng
426825,lowmap_calls,t2t,bismark,wgbs,nofilt,10ng
875526,lowmap_calls,t2t,bismark,emseq,filt,50ng
710343,lowmap_calls,t2t,bwameth,emseq,filt,50ng
528470,lowmap_calls,t2t,bismark,wgbs,filt,200ng
313575,lowmap_calls,t2t,bwameth,wgbs,filt,10ng
424945,lowmap_calls,t2t,bwameth,wgbs,nofilt,50ng
785377,lowmap_calls,t2t,bismark,emseq,filt,10ng
814531,lowmap_calls,t2t,bismark,emseq,nofilt,10ng
419209,lowmap_calls,t2t,bwameth,wgbs,filt,50ng
552421,lowmap_calls,t2t,bismark,wgbs,nofilt,200ng
755238,lowmap_calls,t2t,bwameth,emseq,filt,200ng
422041,lowmap_calls,t2t,bwameth,wgbs,nofilt,200ng
530555,lowmap_calls,t2t,bismark,wgbs,filt,50ng
763950,lowmap_calls,t2t,bwameth,emseq,nofilt,200ng
554703,lowmap_calls,t2t,bismark,wgbs,nofilt,50ng
908092,lowmap_calls,t2t,bismark,emseq,nofilt,50ng
914499,lowmap_calls,t2t,bismark,emseq,filt,200ng
625330,lowmap_calls,t2t,bwameth,emseq,filt,10ng
946205,lowmap_calls,t2t,bismark,emseq,nofilt,200ng
633443,lowmap_calls,t2t,bwameth,emseq,nofilt,10ng
719206,lowmap_calls,t2t,bwameth,emseq,nofilt,50ng
241978740,clinvar_calls,grch38,bwameth,wgbs,nofilt,200ng
225337876,clinvar_calls,grch38,bwameth,wgbs,filt,10ng
234389773,clinvar_calls,grch38,bismark,wgbs,filt,50ng
252362149,clinvar_calls,grch38,bwameth,emseq,filt,10ng
241727705,clinvar_calls,grch38,bwameth,wgbs,filt,50ng
213548525,clinvar_calls,grch38,bismark,wgbs,filt,10ng
241725826,clinvar_calls,grch38,bwameth,wgbs,filt,200ng
241980918,clinvar_calls,grch38,bwameth,wgbs,nofilt,50ng
252611557,clinvar_calls,grch38,bwameth,emseq,filt,50ng
235429709,clinvar_calls,grch38,bismark,wgbs,nofilt,200ng
225561463,clinvar_calls,grch38,bwameth,wgbs,nofilt,10ng
235018594,clinvar_calls,grch38,bismark,wgbs,filt,200ng
38122136,clinvar_calls,t2t,bismark,wgbs,filt,200ng
41263664,clinvar_calls,t2t,bwameth,emseq,filt,200ng
38013763,clinvar_calls,t2t,bismark,wgbs,filt,50ng
38732439,clinvar_calls,t2t,bwameth,wgbs,filt,200ng
41569953,clinvar_calls,t2t,bismark,emseq,filt,200ng
234799477,clinvar_calls,grch38,bismark,wgbs,nofilt,50ng
34522133,clinvar_calls,t2t,bismark,wgbs,filt,10ng
41188551,clinvar_calls,t2t,bwameth,emseq,filt,50ng
38731280,clinvar_calls,t2t,bwameth,wgbs,nofilt,50ng
35896527,clinvar_calls,t2t,bwameth,wgbs,filt,10ng
41272381,clinvar_calls,t2t,bwameth,emseq,nofilt,200ng
41292352,clinvar_calls,t2t,bismark,emseq,filt,10ng
40986632,clinvar_calls,t2t,bwameth,emseq,nofilt,10ng
41197431,clinvar_calls,t2t,bwameth,emseq,nofilt,50ng
38725529,clinvar_calls,t2t,bwameth,wgbs,filt,50ng
252886651,clinvar_calls,grch38,bwameth,emseq,nofilt,50ng
38738563,clinvar_calls,t2t,bwameth,wgbs,nofilt,200ng
34542799,clinvar_calls,t2t,bismark,wgbs,nofilt,10ng
38146124,clinvar_calls,t2t,bismark,wgbs,nofilt,200ng
41321547,clinvar_calls,t2t,bismark,emseq,nofilt,10ng
41601688,clinvar_calls,t2t,bismark,emseq,nofilt,200ng
41518941,clinvar_calls,t2t,bismark,emseq,filt,50ng
38037952,clinvar_calls,t2t,bismark,wgbs,nofilt,50ng
252028319,clinvar_calls,grch38,bismark,emseq,filt,10ng
35900653,clinvar_calls,t2t,bwameth,wgbs,nofilt,10ng
41551545,clinvar_calls,t2t,bismark,emseq,nofilt,50ng
40978491,clinvar_calls,t2t,bwameth,emseq,filt,10ng
213913783,clinvar_calls,grch38,bismark,wgbs,nofilt,10ng
252699875,clinvar_calls,grch38,bwameth,emseq,filt,200ng
253013720,clinvar_calls,grch38,bismark,emseq,nofilt,50ng
252561948,clinvar_calls,grch38,bismark,emseq,filt,50ng
252619149,clinvar_calls,grch38,bismark,emseq,filt,200ng
252963833,clinvar_calls,grch38,bwameth,emseq,nofilt,200ng
253054336,clinvar_calls,grch38,bismark,emseq,nofilt,200ng
252478214,clinvar_calls,grch38,bismark,emseq,nofilt,10ng
252637157,clinvar_calls,grch38,bwameth,emseq,nofilt,10ng
35537525,mixed_methyl_calls,t2t,bismark,wgbs,nofilt,50ng
39393411,mixed_methyl_calls,t2t,bwameth,wgbs,filt,10ng
987441902,pure_methyl_calls,t2t,bwameth,wgbs,filt,10ng
1037936343,pure_methyl_calls,t2t,bismark,wgbs,nofilt,50ng
36648790,mixed_methyl_calls,grch38,bwameth,wgbs,filt,10ng
36927951,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,10ng
73572271,mixed_methyl_calls,grch38,bwameth,emseq,filt,200ng
58751885,mixed_methyl_calls,grch38,bwameth,wgbs,nofilt,200ng
58358678,mixed_methyl_calls,grch38,bwameth,wgbs,filt,200ng
57024484,mixed_methyl_calls,grch38,bwameth,wgbs,filt,50ng
22152764,mixed_methyl_calls,grch38,bismark,wgbs,nofilt,10ng
75748177,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,50ng
120970313,mixed_methyl_calls,grch38,bwameth,emseq,nofilt,10ng
75251363,mixed_methyl_calls,t2t,bwameth,emseq,nofilt,200ng
978513473,pure_methyl_calls,grch38,bwameth,wgbs,filt,10ng
983975432,pure_methyl_calls,grch38,bwameth,wgbs,nofilt,10ng
120139973,mixed_methyl_calls,grch38,bwameth,emseq,filt,10ng
